province,region4,regionmrs,regioneconomy,grp,grp1,grp2,grp3,pop,popurban,poprural,birthrate,deathrate,natgrowth,lifeexp,lifeexpm,lifeexpf,empurban,empagri,empmining,empmanufact,emplelectric,empconstruct,emptransport,empinform,emptrades,emptourism,empfinance,emprealestate,empbusinservices,empscience,empwater,emphhservices,empeducation,emphealth,empsports,empsocial,wagesurban,wagesagri,wagesmining,wagesmanufact,wageslelectric,wagesconstruct,wagestransport,wagesinform,wagestrades,wagestourism,wagesfinance,wagesrealestate,wagesbusinservices,wagesscience,wageswater,wageshhservices,wageseducation,wageshealth,wagessports,wagessocial,tradeblop,exportsop,imprtsop,tradebldest,exportsdest,imprtsdest,healtcareinst,hospitals,museums,libraryusage,lotterysales,trafficacccidents,trafficdeaths,trafficinjuries
Hainan,Eastern,Not classified,Tier 4 (Lowest),7590.2,1506.9,1403.4,4679.9,1043,651,392,9.28,6.47,2.81,79.05,75.83,82.84,102.1,3.2,0.5,7.9,2.3,1.9,7,2,7,4.4,4.4,7.8,3.9,2.8,5.2,0.5,16.9,8.3,1.7,14.4,1165.56,20.18,8.89,79.07,33.32,15.29,98.4,48.07,86.46,29.02,75.11,67.49,56.39,40.62,29.91,2.67,190.33,108.45,16.3,159.58,32930000,10540000,22390000,26190000,8400000,17790000,6538,240,33,0.73,7.2,2994,604,3186
Chongqing,Western,Yangtze River Economic Belt (w/o Delta),Tier 3 (Lower-middle),30614.3,2033.7,11199.1,17381.6,3191,2287,904,5.58,8.9,-3.32,78.56,75.86,81.64,337.4,0.4,0.6,61.2,7.1,57.9,19.8,6.3,14.7,3.5,17.5,13.5,16.3,7.7,5.9,0.7,43.1,22.1,2.6,36.4,3825.95,3.31,6.12,631.57,90.98,461.83,213.12,108.58,146.96,19.94,300.23,112.36,121.94,120.06,46.06,5.19,589.3,347.52,28.57,472.31,101430000,67940000,33490000,91060000,61550000,29510000,23389,862,106,0.91,44.1,4227,936,4266
Sichuan,Western,Yangtze River Economic Belt (w/o Delta),Tier 2 (Upper-middle),61353.4,5455.6,21879.1,34018.7,8368,4978,3390,6.32,9.44,-3.12,77.79,75.01,80.93,883.6,1.6,8.5,144.2,21.4,106.8,35.9,27.6,37.5,19.6,33.1,29.9,41.5,28,12.2,4.5,123.8,74.5,7.3,125.7,9625.09,14.09,136.38,1428.32,293.91,817.07,423.74,438.57,358.05,102.18,511.95,253.75,321.06,405.33,89.2,27.46,1424.03,1021.13,77.69,1481.17,135880000,85770000,50110000,140330000,83450000,56880000,74975,2479,272,0.64,96.6,7113,2273,7325
Guizhou,Western,Yangtze River Economic Belt (w/o Delta),Tier 3 (Lower-middle),21513.7,2883.3,6638.5,11991.8,3865,2162,1703,10.65,7.77,2.88,75.2,72.09,78.71,310.8,1.3,14.9,34.4,8.4,23.9,11.7,4.2,11.8,3.3,11.5,6.7,8.8,4.8,5.1,2,59.2,30,2,66.7,3149.54,8.64,144.45,364.5,120.75,199.39,127.66,62.92,122.1,16.89,197.97,54.4,61.15,57.26,27.99,9.95,578.91,354.3,17.78,622.52,10780000,7390000,3390000,10370000,7710000,2650000,30695,1543,122,0.54,35.9,13965,2655,14988
Yunnan,Western,Yangtze River Economic Belt (w/o Delta),Tier 3 (Lower-middle),30595.8,4191.4,10021.4,16383,4673,2473,2200,8.22,8.61,-0.39,74.02,70.98,77.55,345,2.4,5.2,37.6,9.8,24.2,15.8,5.3,13.9,5,11.4,8,12.7,8.4,6.9,1.4,64.4,34.8,3.4,74.4,3686.83,14.41,53.03,375.78,152.92,199.36,183.96,70.45,147.62,25.4,177.91,66.29,80.46,109.54,42.56,6.92,745.98,413.36,34.37,786.53,36770000,13150000,23630000,39920000,16200000,23720000,28765,1409,143,0.57,94.4,5533,1908,4625
Tibet,Western,Not classified,Tier 3 (Lower-middle),2532.9,218.7,858.7,1455.5,365,142,223,13.72,5.76,7.96,72.19,70.27,74.75,40.8,0.1,0.7,1.2,1.5,1.3,2.3,0.8,1.8,0.5,1.8,0.6,1.3,1.2,0.6,0.1,5.8,2.6,0.7,15.8,670.13,1.15,9.31,12.28,21.31,12.87,32.29,17.75,25.8,4.08,48.73,5.32,16.67,17.6,4.74,0.6,106.75,40.78,10.37,281.75,1540000,1380000,160000,610000,550000,60000,7058,190,15,0.87,8.9,785,278,983
Shaanxi,Western,Not classified,Tier 3 (Lower-middle),33976.5,2649.1,13937.3,17390.1,3952,2575,1377,6.83,8.14,-1.31,77.8,75.59,80.24,456.4,1.4,28,74.9,14.3,43.1,24.1,13.4,19.9,8.3,17.1,13.1,12.9,13.6,9.4,1.5,60.9,35.7,5.2,59.5,4842.07,10.36,445.8,753.79,200.13,374.72,275.42,277.74,172.7,41.87,251.38,106.65,91.35,192.44,56.88,7.83,620.06,372.21,42.71,548,57540000,37440000,20090000,52350000,36110000,16240000,35133,1292,246,0.66,77,5109,917,5325
Gansu,Western,Not classified,Tier 4 (Lowest),12345.7,1636.6,4148.6,6560.4,2465,1368,1097,7.71,9.04,-1.33,75.64,73.64,77.85,234.1,1.6,7.2,25.4,9.5,18.3,12.2,3.1,8,2.4,11,5.2,4.8,6.4,5.6,0.2,39.3,21.1,2.7,50,2320.07,12.3,99.95,246.52,106.09,137.15,134.15,36.71,65.42,12.11,118.58,30.76,31.71,79.7,35.53,1.46,426.19,212.62,24.41,508.73,7000000,1760000,5240000,8050000,2720000,5320000,25375,737,194,0.86,26.7,3791,1307,3990
Qinghai,Western,Not classified,Tier 4 (Lowest),3849.2,387.3,1636.5,1825.4,594,373,221,9.25,7.57,1.68,73.96,71.72,76.43,65.9,0.7,2.3,9.9,2.4,2.9,5,0.9,2.1,0.5,2.8,1.5,1.7,1.9,1,0.1,8.9,5.8,0.9,14.8,804.06,3.8,43.54,101.95,34.13,35.17,63.48,14.71,19.32,2.67,44.43,8.33,11.61,25.61,7.62,0.8,116.13,73.36,8.47,188.92,690000,420000,270000,690000,500000,180000,6950,243,24,1.14,12.7,1699,463,1632
Ningxia,Western,Not classified,Tier 4 (Lowest),5368.8,428,2329,2611.7,729,491,238,10.02,6.59,3.43,76.58,74.89,78.4,74.2,0.9,6.1,13,3.8,2.3,3.9,0.9,2.7,0.4,3.6,1.5,1.7,1.3,1.7,0.1,11.2,6,0.8,12.2,873.37,6.24,125.89,124.71,60.91,26.5,42.91,14.77,21.6,2.09,50.42,11.42,11.87,15.93,11.15,0.54,123.87,80.42,7.99,134.15,2930000,2140000,790000,4460000,3370000,1080000,4863,220,52,1.24,17.5,1450,447,1359
Xinjiang,Western,Not classified,Tier 4 (Lowest),19603.3,2739.6,7559.7,9304,2598,1539,1059,7.1,6.17,0.93,75.65,73.66,77.89,313.4,1.9,13.1,34.1,10,20.7,17.6,4.2,9.5,3,10.1,6,10.3,6.3,5.5,0.7,51.3,25.1,3,81.1,3601.15,12.51,257.98,339.74,152.16,256.41,226.44,58.66,94.31,16.3,163.82,39.39,77.55,84.63,37.91,4.51,605.94,328.97,32.02,811.91,50680000,42890000,7790000,62990000,39570000,23420000,18416,987,98,0.75,83.2,5039,1316,5317
